multibank,"8,000.00",,,
mbank,0.00,,,
inteligo,0.00,,,
cash,0.00,z debetami:,,limit debetow:
mam,"8,000.00","17,900.00   ",,9900.00
,,,,
,,0 if done:,"""x"" cost non-VAT, ""v"" cost+VAT22",
kwietniowe:,,,,
VAT,"-2,420.00",0,,
VAT to pay,"-1,860.00",0,,
podatek dochodowy,"-1,050.60",0,,
PowerBook start,"-2,108.86",0,v,
PowerBook leasing za kwiecien,-376.42,0,v,
PowerBook torba,-267.00,0,?,
mysz + akcesoria,-62.69,0,v,
biuro rach,-244.00,0,v,
idea,-243.68,0,v,,
pieczatka,-73.20,0,v,,
taxi,-136.89,0,x,,
bank,-15.00,0,v?,,
,,,,,
maj:,,,,,
CRM za marzec,"13,420.00",0,,,
VAT,"-2,420.00",0,,,
VAT to pay,"-1,812.00",0,,"-1,859.39   ",
ZUS,-730.37,0,x,,
podatek dochodowy,"-1,285.30",0,,"-1,446.83   ",
Wiktorska,-436.78,0,,,
TP,-133.20,0,,,
Office 4 mac,"-2,389.00",0,v,,
PowerBook leasing rata,-564.63,0,v,,
biuro rach,-244.00,0,v,,
idea,-149.68,0,v,
Nokia,"-1,495.00",0,v,
HD 2.5'' obudowa,-150.00,0,v,
,,,,
czerwiec:,,,,
CRM za kwiecien,"13,420.00",0,,
VAT,"-2,420.00",0,,
VAT to pay,"-1,515.00",0,,"-1,519.75   "
ZUS,-730.37,0,x,
podatek dochodowy,"-1,033.90",0,,"-1,173.74   "
PowerBook leasing rata,-564.63,0,v,
idea,-268.22,0,v,
biuro rach czerwiec,-244.00,0,v,
taxi,-137.00,0,x,
,,,,
Lipiec:,,,,
Wiktorska ADM*2,-874.00,0,,
CRM za maj,"10,980.00",0,,
VAT,"-1,980.00",0,,
VAT to pay,"-1,725.00",0,,"-1,785.81   "
ZUS,-724.91,0,x,
podatek dochodowy,"-1,207.50",0,,"-1,377.49   "
Wiktorska,-800.00,0,,
PowerBook leasing rata,-564.63,0,v,
biuro rach,-244.00,0,v,
idea,-251.82,0,v,
,,,,
Sierpie_:,,,,
CRM za czerwiec,"12,200.00",0,,
VAT,"-2,200.00",0,,
VAT to pay,"-2,009.00",0,,"-2,008.77   "
ZUS,-724.91,0,x,
podatek dochodowy,"-1,485.40",0,,"-1,597.12   "
Wiktorska,-800.00,0,,
Ewa oddaje,400.00,0,,
Wiktorska ADM*2,-874.00,0,,
TP za lipiec,-161.15,0,,
Ewa oddaje za TP,80.00,0,,
PowerBook leasing rata,-564.63,0,v,
biuro rach,-244.00,0,v,
idea,-313.18,0,v,
Gaz+Stoen,-154.80,0,,
Kolaner domena,-250.00,0,,
Tiger,-79.00,0,v,
HD 2.5'',-440.00,0,v,
,,,,
wrzesie_:,,,,
CRM za lipiec,"10,370.00",0,,
VAT,"-1,870.00",0,,
VAT to pay,"-1,574.00",0,,"-1,574.12   "
ZUS,-724.91,0,x,
podatek dochodowy,"-1,103.80",0,,"-1,221.73   "
Inflancka,"-1,250.00",0,,
PowerBook leasing rata,-564.63,0,v,
biuro rach,-244.00,0,v,
idea,-254.10,0,v,
Taxi z Ikei,-85.40,0,v,
Taxi rozne,-46.72,0,x,
Ewy laptop,"-2,500.00",0,v,
KEI domena z sierpnia,-67.10,0,v,
HALA,"-5,000.00",0,,
,,,,
pa_dziernik:,,,,
CRM za sierpie_,"9,150.00",0,,
VAT,"-1,650.00",0,,
VAT to pay,-981.00,0,,-980.04   
ZUS,-704.89,0,x,
podatek dochodowy,-589.70,0,,-699.79   
TP Wiktorska za sierpie_,-151.23,0,,
Inflancka,"-1,300.00",0,,
Inflancka Stoen,-31.84,0,,
PowerBook leasing rata,-564.63,0,v,
biuro rach,-244.00,0,v,
idea,-332.52,0,v,
karta kredytowa Ani,-600.00,0,,
,,,,
listopad:,,,,
CRM za wrzesie_,"13,420.00",0,,
VAT,"-2,420.00",0,,
VAT to pay,"-2,215.00",0,,"-2,214.22   "
ZUS,-704.89,0,x,
podatek dochodowy,"-1,648.10",0,,"-1,778.35   "
Inflancka,-850.00,0,,
Inflancka gaz,-77.00,0,,
PowerBook leasing rata,-564.63,0,v,
biuro rach,-244.00,0,v,
idea,-241.96,0,v,
Taxi,-85.00,0,x,
karta kredytowa Ani,-200.00,0,,
Smoq#1,-300.00,0,,
Mlody faktura,"-1,000.00",0,x,
zakupy Empik,-178.80,0,x,
zakupy Saturn,-96.70,0,v,
Linksys nowy,-319.00,0,v,
Ania ksiazka,-18.00,0,x,
non solo pizza,-135.50,0,x,
,,,,
grudzie_:,,,,
CRM za pa_dziernik,"10,400.50",0,,
VAT,"-1,875.50",0,,
VAT to pay,"-1,602.00",0,,"-1,611.09   "
ZUS,-704.89,0,x,
podatek dochodowy,"-1,714.80",0,,"-1,976.36   "
Inflancka,-900.00,0,,
PowerBook leasing rata,-564.63,0,v,
Smoq#2,-200.00,0,,
Supermedia,-67.09,0,v,
Taxi,-90.45,0,x,
PEX,-114.00,0,x,
Nokia Ani z Plusa,-96.38,0,v,
Plus Ani,-70.36,0,v,
Kasetka,-135.30,0,v,
idea,-255.86,0,v,
biuro rach,-244.00,0,v,
,,,,
stycze_:,,,,
CRM za listopad,"12,078.00",0,,
VAT,"-2,178.00",0,,
VAT to pay,"-1,911.00",0,,"-1,919.48   "
ZUS,-713.27,0,x,
Inflancka,-900.00,0,,
PowerBook leasing rata,-564.63,0,v,
Supermedia,-63.75,0,v,
biuro rach,-244.00,0,v,
orange,-288.54,0,v,
Acer,"-2,849.00",0,v,
rozne,-21.80,0,x,
Inflancka woda,-178.77,0,,
Plus Ani,-107.42,0,v,
,,,,
luty:,,,,
CRM za grudzie_,"8,890.75",0,,
CRM premia,"6,007.00",0,,
VAT,"-2,686.48",0,,
VAT to pay,"-1,944.00",0,,"-1,944.01   "
ZUS,-717.95,0,x,
PIT-5L,"-1,426.00",0,,"-1,539.25   "
Inflancka,-886.32,0,,
PowerBook leasing rata,-564.63,0,v,
Supermedia,-63.75,0,v,
Orange,-140.51,0,v,
Ani Plus,-53.93,0,v,
DDR 512 do CRM,-169.00,0,v,
biuro rach,-244.00,0,v,
,,,,
marzec:,,,,
CRM za styczen,"10,736.00",0,,
VAT,"-1,936.00",0,,
VAT to pay,"-1,699.00",0,,"-1,713.15   "
ZUS,-720.00,0,x,
PIT-5L,"-1,141.00",0,,"-1,343.13   "
Inflancka,-850.00,0,,
PowerBook leasing rata,-564.63,0,v,
Supermedia,-89.25,0,v,
orange,-142.22,0,v,
Ani Plus,-59.37,0,v,
biuro rach,-244.00,0,v,
Ania pozycza na szkole,"-1,000.00",0,,
Amazon ksiazki,-904.00,0,x,
drukarka,-338.90,0,v,
,,,,
kwiecie_:,,,,
CRM za luty,"10,065.00",0,,
VAT,"-1,815.00",0,,
VAT to pay,"-1,556.00",0,,"-1,555.62   "
PIT-5L,-914.00,0,,"-1,034.93   "
ZUS,-772.25,0,x,
Inflancka,-850.00,0,,
PowerBook leasing rata,-564.63,0,v,
SH+Hala,-222.22,0,,
Community,-80.00,0,,
Supermedia,-80.75,0,v,
orange,-221.34,0,v,
Saturn,-26.38,0,v,
Taxi,-47.90,0,x,
Ani Plus,-66.44,0,v,
MMC do telefonu + Saturn,-111.38,0,v,
Smoq WBL,-380.00,0,,
biuro rach,-244.00,0,v,
